time_ms,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw
73295,-1.16,0.08,-0.16,0.03,-0.11,-0.17
73296,-1.36,-0.23,0.05,0.03,-0.00,0.04
73297,-1.26,-0.13,-0.05,0.13,-0.21,-0.07
73298,-1.16,-0.02,-0.26,0.03,-0.00,-0.07
73299,-1.16,-0.13,0.05,0.03,-0.00,-0.07
73300,-1.36,-0.02,0.05,-0.08,-0.11,-0.17
73301,-1.05,0.08,-0.26,-0.08,-0.21,-0.07
73302,-1.05,-0.02,0.05,0.03,-0.11,-0.07
73303,-1.36,0.19,0.05,-0.08,-0.00,-0.07
73304,-1.26,-0.13,-0.36,0.03,-0.00,-0.07
73305,-1.26,-0.13,0.05,0.03,-0.11,-0.07
73306,-1.16,0.19,0.05,0.03,-0.11,-0.07
73307,-1.16,-0.02,-0.36,0.03,-0.00,-0.07
73308,-1.26,-0.23,0.05,0.03,-0.11,0.04
73309,-1.26,-0.13,0.05,0.13,-0.00,0.04
73310,-1.05,-0.02,-0.26,-0.08,-0.11,-0.07
73311,-1.36,-0.23,0.05,0.03,-0.11,-0.07
73312,-1.16,0.08,-0.05,0.03,-0.11,-0.17
73313,-1.16,-0.13,-0.47,-0.08,-0.11,-0.07
73314,-1.57,-0.02,-0.05,-0.08,-0.11,0.04
73315,-1.26,-0.02,0.05,0.03,-0.00,0.04
73316,-1.05,-0.13,-0.36,-0.08,-0.11,0.04
73317,-1.47,-0.02,0.05,-0.08,-0.11,-0.07
73318,-1.05,-0.13,-0.05,0.03,-0.11,-0.07
73319,-1.16,-0.02,-0.26,0.03,-0.11,-0.07
73320,-1.57,-0.02,-0.05,0.03,-0.00,-0.07
73321,-0.95,-0.02,0.05,0.03,-0.11,-0.07
73322,-1.16,-0.02,-0.36,0.13,-0.11,0.04
73323,-1.47,0.08,0.16,0.03,-0.11,-0.07
73324,-1.05,-0.13,-0.05,0.03,-0.11,0.04
73325,-1.36,-0.13,-0.26,-0.08,-0.11,-0.07
73326,-1.36,0.39,0.05,-0.08,-0.21,-0.17
73327,-1.05,-0.13,-0.05,0.03,-0.00,-0.07
73328,-1.36,-0.13,-0.16,0.13,-0.21,0.04
73329,-1.16,0.19,-0.05,0.03,-0.21,-0.07
73330,-0.95,-0.23,-0.05,0.03,-0.11,-0.07
73331,-1.47,-0.23,-0.05,-0.08,-0.00,-0.17
73332,-1.16,0.19,-0.16,0.03,-0.00,0.04
73333,-1.16,-0.23,0.05,0.03,-0.00,0.04
73334,-1.26,-0.02,-0.05,-0.08,-0.11,-0.07
73335,-1.16,0.19,-0.16,0.03,-0.00,-0.17
73336,-1.26,-0.02,0.16,0.03,-0.11,-0.07
73337,-1.47,-0.02,-0.16,0.03,-0.11,-0.07
73338,-0.95,0.29,-0.26,0.03,-0.00,-0.17
73339,-1.26,-0.02,0.16,0.03,-0.11,-0.07
73340,-1.36,0.08,0.05,0.03,-0.00,-0.17
73341,-1.05,0.08,-0.36,-0.08,-0.11,-0.17
73342,-1.26,-0.13,0.16,-0.18,-0.00,-0.07
73343,-1.26,0.08,-0.05,0.03,-0.11,0.04
73344,-1.26,-0.02,-0.16,0.03,-0.00,-0.07
73345,-1.16,-0.13,-0.05,0.03,-0.00,-0.17
73346,-1.36,-0.13,0.05,-0.08,-0.00,-0.07
73347,-1.16,0.08,-0.16,-0.08,-0.00,0.04
73348,-1.26,0.08,-0.05,-0.08,-0.11,-0.17
73349,-1.36,-0.13,0.05,0.03,-0.11,0.04
